epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
1,0.9212990318025861,0.6930401275555292,0.7092593174611315,0.5168515359967074,"{0: 0.631578947368421, 1: 0.4510190664036818, 2: 0.5803461063040791, 3: 0.5444839857651246, 4: 0.4482758620689655, 6: 0.6837606837606838, 7: 0.8571428571428571, 8: 0.481651376146789, 10: 0.4854368932038835, 11: 0.428099173553719, 12: nan, 13: 0.31306491372226786, 14: 0.5966386554621849, 15: 0.3793859649122807, 17: 0.6760722347629797, 18: 0.4994350282485876, 19: 0.5209809264305177, 20: 0.5992647058823529, 21: 0.37681159420289856, 23: 0.5112976113621691, 24: 0.4093567251461988, 25: 0.07142857142857142, 26: 0.5425531914893617, 27: 0.8533333333333334, 28: 0.5257270693512305, 29: 0.523955773955774, 30: 0.45690376569037655, 31: nan, 32: nan, 33: 0.0, 34: 0.7368888888888889, 35: 0.625, 36: 0.6956521739130435}"
2,0.8577540584472048,0.6669017309943835,0.7046111321556828,0.5198431808850652,"{0: 0.6631578947368421, 1: 0.43984220907297833, 2: 0.5636588380716935, 3: 0.5693950177935944, 4: 0.4482758620689655, 6: 0.6871794871794872, 7: 0.7142857142857143, 8: 0.5045871559633027, 10: 0.48058252427184467, 11: 0.4573002754820937, 12: nan, 13: 0.31470829909613807, 14: 0.5714285714285714, 15: 0.375, 17: 0.6580135440180587, 18: 0.5152542372881356, 19: 0.5389645776566757, 20: 0.6125919117647058, 21: 0.4782608695652174, 23: 0.5190445448676565, 24: 0.4152046783625731, 25: 0.10714285714285714, 26: 0.5, 27: 0.84, 28: 0.5458612975391499, 29: 0.5276412776412777, 30: 0.4251046025104602, 31: nan, 32: nan, 33: 0.0, 34: 0.7342222222222222, 35: 0.5625, 36: 0.8260869565217391}"
3,0.8325131588122424,0.64915897945563,0.7127694417380573,0.5316440511308609,"{0: 0.7052631578947368, 1: 0.46745562130177515, 2: 0.5284301606922126, 3: 0.5765124555160143, 4: 0.5172413793103449, 6: 0.6683760683760683, 7: 0.8571428571428571, 8: 0.47706422018348627, 10: 0.491747572815534, 11: 0.44242424242424244, 12: nan, 13: 0.3894823336072309, 14: 0.5714285714285714, 15: 0.3793859649122807, 17: 0.5733634311512416, 18: 0.5796610169491525, 19: 0.5482288828337875, 20: 0.5496323529411765, 21: 0.5217391304347826, 23: 0.5041962556488057, 24: 0.45321637426900585, 25: 0.03571428571428571, 26: 0.48936170212765956, 27: 0.7066666666666667, 28: 0.5525727069351231, 29: 0.519041769041769, 30: 0.4510460251046025, 31: nan, 32: nan, 33: 0.1, 34: 0.7671111111111111, 35: 0.65625, 36: 0.8695652173913043}"
4,0.8033456579476845,0.6304446230332057,0.7139207360343536,0.5278485491875098,"{0: 0.6631578947368421, 1: 0.46022353714661407, 2: 0.5593325092707045, 3: 0.5729537366548043, 4: 0.4827586206896552, 6: 0.67008547008547, 7: 0.7142857142857143, 8: 0.5137614678899083, 10: 0.48009708737864076, 11: 0.44297520661157025, 12: nan, 13: 0.3418241577649959, 14: 0.6050420168067226, 15: 0.375, 17: 0.6128668171557562, 18: 0.5344632768361582, 19: 0.5133514986376022, 20: 0.609375, 21: 0.6666666666666666, 23: 0.5183989670755326, 24: 0.43859649122807015, 25: 0.03571428571428571, 26: 0.4787234042553192, 27: 0.8266666666666667, 28: 0.5436241610738255, 29: 0.5288697788697788, 30: 0.4251046025104602, 31: nan, 32: nan, 33: 0.0, 34: 0.7582222222222222, 35: 0.59375, 36: 0.8695652173913043}"
5,0.7716381875406794,0.6226191714406013,0.7196193119693253,0.5366428374042153,"{0: 0.631578947368421, 1: 0.45956607495069035, 2: 0.5568603213844252, 3: 0.5765124555160143, 4: 0.4482758620689655, 6: 0.6512820512820513, 7: 0.7142857142857143, 8: 0.4908256880733945, 10: 0.48349514563106794, 11: 0.46225895316804405, 12: nan, 13: 0.3410024650780608, 14: 0.5462184873949579, 15: 0.3793859649122807, 17: 0.6331828442437923, 18: 0.535593220338983, 19: 0.5013623978201635, 20: 0.5588235294117647, 21: 0.42028985507246375, 23: 0.5093608779857973, 24: 0.4678362573099415, 25: 0.6071428571428571, 26: 0.4787234042553192, 27: 0.8, 28: 0.5525727069351231, 29: 0.5485257985257985, 30: 0.4100418410041841, 31: nan, 32: nan, 33: 0.15, 34: 0.7644444444444445, 35: 0.59375, 36: 0.8260869565217391}"
6,0.7763764329818117,0.601559354364872,0.7248960774940161,0.5464321110265,"{0: 0.6947368421052632, 1: 0.4779750164365549, 2: 0.5290482076637825, 3: 0.5587188612099644, 4: 0.5172413793103449, 6: 0.6854700854700855, 7: 0.8571428571428571, 8: 0.481651376146789, 10: 0.48349514563106794, 11: 0.43526170798898073, 12: nan, 13: 0.4396055875102712, 14: 0.6050420168067226, 15: 0.375, 17: 0.5936794582392777, 18: 0.5977401129943503, 19: 0.5863760217983651, 20: 0.6222426470588235, 21: 0.5797101449275363, 23: 0.5009683666881859, 24: 0.5292397660818714, 25: 0.2857142857142857, 26: 0.4787234042553192, 27: 0.68, 28: 0.5682326621923938, 29: 0.5030712530712531, 30: 0.4560669456066946, 31: nan, 32: nan, 33: 0.1, 34: 0.7822222222222223, 35: 0.5625, 36: 0.8260869565217391}"
7,0.7636565829024595,0.591237252453963,0.721050159047337,0.5793297530553392,"{0: 0.6842105263157895, 1: 0.48454963839579224, 2: 0.5265760197775031, 3: 0.5338078291814946, 4: 0.5862068965517241, 6: 0.5709401709401709, 7: 1.0, 8: 0.5321100917431193, 10: 0.49854368932038834, 11: 0.4815426997245179, 12: nan, 13: 0.5447822514379622, 14: 0.5966386554621849, 15: 0.5241228070175439, 17: 0.600451467268623, 18: 0.5819209039548022, 19: 0.4550408719346049, 20: 0.4420955882352941, 21: 0.6086956521739131, 23: 0.5041962556488057, 24: 0.4766081871345029, 25: 0.8214285714285714, 26: 0.40425531914893614, 27: 0.52, 28: 0.5659955257270693, 29: 0.5, 30: 0.4502092050209205, 31: nan, 32: nan, 33: 0.85, 34: 0.7333333333333333, 35: 0.5625, 36: 0.7391304347826086}"
8,0.7402537532714235,0.5829538578788439,0.7250383351225814,0.5657721130635991,"{0: 0.6421052631578947, 1: 0.46679815910585143, 2: 0.5302843016069221, 3: 0.5658362989323843, 4: 0.4827586206896552, 6: 0.6307692307692307, 7: 0.8571428571428571, 8: 0.5045871559633027, 10: 0.4893203883495146, 11: 0.4578512396694215, 12: nan, 13: 0.5275267050123253, 14: 0.5210084033613446, 15: 0.3881578947368421, 17: 0.6309255079006773, 18: 0.5853107344632769, 19: 0.5057220708446867, 20: 0.5252757352941176, 21: 0.6086956521739131, 23: 0.5151710781149128, 24: 0.47076023391812866, 25: 0.8214285714285714, 26: 0.425531914893617, 27: 0.6266666666666667, 28: 0.5548098434004475, 29: 0.5423832923832924, 30: 0.41589958158995816, 31: nan, 32: nan, 33: 0.6, 34: 0.7475555555555555, 35: 0.59375, 36: 0.7391304347826086}"
9,0.7292692047708175,0.5734891523917516,0.7222179949283501,0.5451769132669791,"{0: 0.6842105263157895, 1: 0.47337278106508873, 2: 0.5451174289245982, 3: 0.5409252669039146, 4: 0.4827586206896552, 6: 0.6393162393162393, 7: 0.8571428571428571, 8: 0.4954128440366973, 10: 0.47378640776699027, 11: 0.45454545454545453, 12: nan, 13: 0.46343467543138867, 14: 0.46218487394957986, 15: 0.3706140350877193, 17: 0.6297968397291196, 18: 0.592090395480226, 19: 0.5493188010899183, 20: 0.6194852941176471, 21: 0.4927536231884058, 23: 0.513234344738541, 24: 0.49707602339181284, 25: 0.5714285714285714, 26: 0.43617021276595747, 27: 0.68, 28: 0.5816554809843401, 29: 0.5282555282555282, 30: 0.42677824267782427, 31: nan, 32: nan, 33: 0.2, 34: 0.7493333333333333, 35: 0.5625, 36: 0.782608695652174}"
10,0.2750339890446733,0.5728310644626617,0.7144848040731998,0.5777092438096665,"{0: 0.6421052631578947, 1: 0.4365548980933596, 2: 0.5451174289245982, 3: 0.5587188612099644, 4: 0.6206896551724138, 6: 0.5743589743589743, 7: 0.8571428571428571, 8: 0.4724770642201835, 10: 0.5344660194174757, 11: 0.45454545454545453, 12: nan, 13: 0.5201314708299096, 14: 0.48739495798319327, 15: 0.6469298245614035, 17: 0.6354401805869074, 18: 0.5830508474576271, 19: 0.48119891008174387, 20: 0.5114889705882353, 21: 0.6521739130434783, 23: 0.5074241446094254, 24: 0.45614035087719296, 25: 0.6785714285714286, 26: 0.4574468085106383, 27: 0.7066666666666667, 28: 0.5458612975391499, 29: 0.5337837837837838, 30: 0.4225941422594142, 31: nan, 32: nan, 33: 0.7, 34: 0.7324444444444445, 35: 0.59375, 36: 0.782608695652174}"
