epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
1,2.1101371606190997,0.5039866119623184,0.6597195558716711,0.5721339509948611,"{0: 0.8571428571428571, 1: 0.4632411067193676, 2: 0.7877412031782066, 3: 0.48546511627906974, 4: 0.5294117647058824, 6: 0.5399719495091164, 7: 0.7777777777777778, 8: 0.32196969696969696, 10: 0.5688073394495413, 11: 0.43248945147679324, 12: 0.6666666666666666, 13: 0.5112781954887218, 14: 0.4967741935483871, 15: 0.35283018867924526, 17: 0.6720285969615728, 18: 0.5280073461891643, 19: 0.500419991600168, 20: 0.4686924493554328, 21: 0.5, 23: 0.4767390341160833, 24: 0.46107784431137727, 25: 0.9655172413793104, 26: 0.92, 27: 0.40350877192982454, 28: 0.5831265508684863, 29: 0.49609140108238126, 30: 0.4845201238390093, 31: nan, 32: 0.6048951048951049, 33: 0.95, 34: 0.579734219269103, 35: 0.5652173913043478, 36: 0.35714285714285715}"
2,2.06579905351003,0.49650465697050095,0.7173080070244787,0.5877883436464335,"{0: 0.7777777777777778, 1: 0.4442687747035573, 2: 0.7150964812712827, 3: 0.6366279069767442, 4: 0.47058823529411764, 6: 0.6493688639551192, 7: 0.4444444444444444, 8: 0.5606060606060606, 10: 0.4151376146788991, 11: 0.4607594936708861, 12: 0.7777777777777778, 13: 0.5112781954887218, 14: 0.5387096774193548, 15: 0.7264150943396226, 17: 0.645218945487042, 18: 0.5858585858585859, 19: 0.49580008399832004, 20: 0.46500920810313073, 21: 0.5, 23: 0.4209127159946832, 24: 0.46107784431137727, 25: 1.0, 26: 0.82, 27: 0.45614035087719296, 28: 0.4838709677419355, 29: 0.49969933854479853, 30: 0.47213622291021673, 31: nan, 32: 0.6258741258741258, 33: 1.0, 34: 0.6478405315614618, 35: 0.5652173913043478, 36: 0.5357142857142857}"
3,2.023261872927348,0.4918531998991966,0.7465200191347806,0.5987497177346992,"{0: 0.7142857142857143, 1: 0.42924901185770753, 2: 0.6503972758229285, 3: 0.7587209302325582, 4: 0.4117647058823529, 6: 0.6227208976157083, 7: 0.4444444444444444, 8: 0.6325757575757576, 10: 0.3889908256880734, 11: 0.4962025316455696, 12: 0.8888888888888888, 13: 0.5401002506265664, 14: 0.6, 15: 0.590566037735849, 17: 0.7596067917783735, 18: 0.6225895316804407, 19: 0.49538009239815206, 20: 0.4940147329650092, 21: 0.48717948717948717, 23: 0.4984492689410722, 24: 0.39820359281437123, 25: 1.0, 26: 0.76, 27: 0.2807017543859649, 28: 0.4838709677419355, 29: 0.5165363800360794, 30: 0.5092879256965944, 31: nan, 32: 0.6538461538461539, 33: 1.0, 34: 0.6960132890365448, 35: 0.4782608695652174, 36: 0.8571428571428571}"
4,2.023314388593038,0.48455096781253815,0.7431069155866635,0.6129077441471712,"{0: 0.7777777777777778, 1: 0.4379446640316206, 2: 0.677639046538025, 3: 0.7558139534883721, 4: 0.35294117647058826, 6: 0.5876577840112202, 7: 0.6666666666666666, 8: 0.6174242424242424, 10: 0.3724770642201835, 11: 0.5139240506329114, 12: 0.8333333333333334, 13: 0.506265664160401, 14: 0.6225806451612903, 15: 0.5981132075471698, 17: 0.7176050044682752, 18: 0.6345270890725436, 19: 0.5159596808063839, 20: 0.5004604051565378, 21: 0.5256410256410257, 23: 0.48515728843597694, 24: 0.4431137724550898, 25: 1.0, 26: 0.82, 27: 0.3333333333333333, 28: 0.48883374689826303, 29: 0.5405892964521948, 30: 0.49922600619195046, 31: nan, 32: 0.6188811188811189, 33: 0.95, 34: 0.6461794019933554, 35: 0.6086956521739131, 36: 0.9642857142857143}"
5,2.0058396498362225,0.4802349880337715,0.7463744626210873,0.6044147527987145,"{0: 0.7936507936507936, 1: 0.43952569169960476, 2: 0.7366628830874007, 3: 0.6511627906976745, 4: 0.29411764705882354, 6: 0.5161290322580645, 7: 0.7777777777777778, 8: 0.4734848484848485, 10: 0.4055045871559633, 11: 0.49451476793248944, 12: 0.8333333333333334, 13: 0.4899749373433584, 14: 0.6161290322580645, 15: 0.6396226415094339, 17: 0.7193923145665773, 18: 0.6326905417814509, 19: 0.4853002939941201, 20: 0.4686924493554328, 21: 0.5512820512820513, 23: 0.4749667700487373, 24: 0.4505988023952096, 25: 0.9655172413793104, 26: 0.82, 27: 0.47368421052631576, 28: 0.5260545905707196, 29: 0.5496091401082381, 30: 0.4984520123839009, 31: nan, 32: 0.6118881118881119, 33: 0.95, 34: 0.5714285714285714, 35: 0.6086956521739131, 36: 0.8214285714285714}"
6,1.9986016114552816,0.4755120798945427,0.7491235137499764,0.5987315555285789,"{0: 0.8095238095238095, 1: 0.45770750988142295, 2: 0.713961407491487, 3: 0.627906976744186, 4: 0.23529411764705882, 6: 0.4628330995792426, 7: 0.6666666666666666, 8: 0.39015151515151514, 10: 0.45504587155963305, 11: 0.4704641350210971, 12: 0.8333333333333334, 13: 0.4724310776942356, 14: 0.6096774193548387, 15: 0.6169811320754717, 17: 0.7426273458445041, 18: 0.6078971533516988, 19: 0.4916001679966401, 20: 0.5142725598526704, 21: 0.5769230769230769, 23: 0.5068675232609658, 24: 0.48952095808383234, 25: 0.9655172413793104, 26: 0.82, 27: 0.43859649122807015, 28: 0.5409429280397022, 29: 0.5814792543595911, 30: 0.5147058823529411, 31: nan, 32: 0.6048951048951049, 33: 0.95, 34: 0.5614617940199336, 35: 0.6086956521739131, 36: 0.8214285714285714}"
7,1.9876668373743693,0.472139336168766,0.7512250350909216,0.6163956175794454,"{0: 0.8095238095238095, 1: 0.43873517786561267, 2: 0.6946651532349603, 3: 0.688953488372093, 4: 0.29411764705882354, 6: 0.5245441795231417, 7: 1.0, 8: 0.4734848484848485, 10: 0.41100917431192663, 11: 0.47468354430379744, 12: 0.8333333333333334, 13: 0.4849624060150376, 14: 0.6290322580645161, 15: 0.6094339622641509, 17: 0.7274352100089365, 18: 0.6326905417814509, 19: 0.49412011759764807, 20: 0.4861878453038674, 21: 0.5384615384615384, 23: 0.4980062029242357, 24: 0.49101796407185627, 25: 0.9310344827586207, 26: 0.8, 27: 0.47368421052631576, 28: 0.5310173697270472, 29: 0.5604329524954901, 30: 0.5023219814241486, 31: nan, 32: 0.5979020979020979, 33: 0.95, 34: 0.5631229235880398, 35: 0.6521739130434783, 36: 0.9285714285714286}"
8,1.9823081572850545,0.46717484295368195,0.75277580205573,0.5997647684434961,"{0: 0.7301587301587301, 1: 0.4600790513833992, 2: 0.6730987514188422, 3: 0.6918604651162791, 4: 0.23529411764705882, 6: 0.49228611500701264, 7: 0.5555555555555556, 8: 0.42803030303030304, 10: 0.4160550458715596, 11: 0.47848101265822784, 12: 0.7777777777777778, 13: 0.487468671679198, 14: 0.6161290322580645, 15: 0.6811320754716981, 17: 0.77390527256479, 18: 0.6161616161616161, 19: 0.5104997900041999, 20: 0.4912523020257827, 21: 0.6282051282051282, 23: 0.4864864864864865, 24: 0.5134730538922155, 25: 1.0, 26: 0.78, 27: 0.43859649122807015, 28: 0.5459057071960298, 29: 0.5640408899579074, 30: 0.47832817337461303, 31: nan, 32: 0.6258741258741258, 33: 0.95, 34: 0.5647840531561462, 35: 0.6086956521739131, 36: 0.8928571428571429}"
9,1.9875994682312013,0.467881940305233,0.7505106279858755,0.6047147059831959,"{0: 0.7142857142857143, 1: 0.4458498023715415, 2: 0.677639046538025, 3: 0.6947674418604651, 4: 0.29411764705882354, 6: 0.5708274894810659, 7: 0.6666666666666666, 8: 0.4810606060606061, 10: 0.4087155963302752, 11: 0.46919831223628694, 12: 0.8333333333333334, 13: 0.5363408521303258, 14: 0.6258064516129033, 15: 0.46226415094339623, 17: 0.7765862377122431, 18: 0.6299357208448118, 19: 0.4706005879882402, 20: 0.48848987108655617, 21: 0.5641025641025641, 23: 0.45635799734160387, 24: 0.47604790419161674, 25: 1.0, 26: 0.8, 27: 0.45614035087719296, 28: 0.5583126550868487, 29: 0.5405892964521948, 30: 0.47987616099071206, 31: nan, 32: 0.6328671328671329, 33: 0.95, 34: 0.6528239202657807, 35: 0.6086956521739131, 36: 0.9285714285714286}"
10,0.45429309010505675,0.4644189178943634,0.7393027764314893,0.6042620921629451,"{0: 0.5873015873015873, 1: 0.48616600790513836, 2: 0.5595913734392736, 3: 0.7761627906976745, 4: 0.35294117647058826, 6: 0.6072931276297335, 7: 0.6666666666666666, 8: 0.6098484848484849, 10: 0.3986238532110092, 11: 0.48143459915611814, 12: 0.8333333333333334, 13: 0.5952380952380952, 14: 0.5870967741935483, 15: 0.37169811320754714, 17: 0.80875781948168, 18: 0.6014692378328742, 19: 0.5247795044099118, 20: 0.5128913443830571, 21: 0.5256410256410257, 23: 0.48560035445281347, 24: 0.4655688622754491, 25: 1.0, 26: 0.76, 27: 0.2631578947368421, 28: 0.5508684863523573, 29: 0.5466025255562237, 30: 0.5054179566563467, 31: nan, 32: 0.6608391608391608, 33: 1.0, 34: 0.717607973421927, 35: 0.5652173913043478, 36: 0.9285714285714286}"
